Delivery,Bid,Ask,Last,Time,+/-,On Vol,Off Vol,Tot Vol,Open,High,Low,Settl.,O.I,Product,ProductCode,Date
2027,-,-,-,-,0.00,-,-,-,-,-,-,0.12,731,HLBY,HLBY-27,2026-06-25
2028,-,-,-,-,0.00,-,-,-,-,-,-,1.72,328,HLBY,HLBY-28,2026-06-25
2029,-,-,-,-,0.00,-,-,-,-,-,-,1.18,89,HLBY,HLBY-29,2026-06-25
2030,-,-,-,-,0.00,-,-,-,-,-,-,1.23,50,HLBY,HLBY-30,2026-06-25
Q3 2026,-,-,-,-,0.00,-,-,-,-,-,-,-3.46,865,HLBQ,HLBQ3-26,2026-06-25
Q4 2026,-,-,-,-,0.00,-,-,-,-,-,-,-0.82,979,HLBQ,HLBQ4-26,2026-06-25
Q1 2027,-,-,2.50,15:49,0.40,4,-,4,2.40,2.50,2.40,2.50,169,HLBQ,HLBQ1-27,2026-06-25
Q2 2027,-,-,-,-,0.00,-,-,-,-,-,-,-1.69,5,HLBQ,HLBQ2-27,2026-06-25
Jun 2026,-,-,-,-,0.00,-,-,-,-,-,-,-16.69,"1,018",HLBM,HLBMJUN-26,2026-06-25
Jul 2026,-,-,-,-,0.00,-,17,17,-,-,-,-11.50,203,HLBM,HLBMJUL-26,2026-06-25
Aug 2026,-,-,-8.10,12:27,-0.10,1,-,1,-8.10,-8.10,-8.10,-8.10,49,HLBM,HLBMAUG-26,2026-06-25
Sep 2026,-,-,-,-,0.00,-,-,-,-,-,-,9.20,43,HLBM,HLBMSEP-26,2026-06-25
2027,-,-,45.50,15:59,-0.23,8,36,44,45.50,45.60,45.50,45.50,"3,982",NSBY,NSBY-27,2026-06-25
2028,-,-,43.00,15:09,-0.10,4,1,5,43.00,43.00,43.00,42.95,"1,687",NSBY,NSBY-28,2026-06-25
2029,-,-,-,-,0.00,-,2,2,-,-,-,43.00,692,NSBY,NSBY-29,2026-06-25
2030,-,-,-,-,0.00,-,-,-,-,-,-,44.88,345,NSBY,NSBY-30,2026-06-25
2031,-,-,-,-,0.00,-,-,-,-,-,-,45.93,148,NSBY,NSBY-31,2026-06-25
2032,-,-,-,-,0.00,-,-,-,-,-,-,48.38,53,NSBY,NSBY-32,2026-06-25
2033,-,-,-,-,0.00,-,-,-,-,-,-,48.88,1,NSBY,NSBY-33,2026-06-25
2034,-,-,-,-,0.00,-,-,-,-,-,-,49.38,1,NSBY,NSBY-34,2026-06-25
2035,-,-,-,-,0.00,-,-,-,-,-,-,49.88,0,NSBY,NSBY-35,2026-06-25
2036,-,-,-,-,0.00,-,-,-,-,-,-,50.13,0,NSBY,NSBY-36,2026-06-25
Q3 2026,-,47.50,47.05,15:54,-0.70,30,37,67,47.30,47.30,47.05,47.00,"5,107",NSBQ,NSBQ3-26,2026-06-25
Q4 2026,-,-,67.50,15:57,-0.45,94,48,142,67.75,68.08,67.50,67.50,"5,065",NSBQ,NSBQ4-26,2026-06-25
Q1 2027,-,-,73.55,15:46,-0.40,21,62,83,73.50,73.90,73.50,73.55,"1,268",NSBQ,NSBQ1-27,2026-06-25
Q2 2027,-,-,34.00,15:59,-0.55,7,4,11,34.30,34.30,33.95,34.00,458,NSBQ,NSBQ2-27,2026-06-25
Q3 2027,-,-,26.10,16:03,0.10,4,19,23,25.60,26.10,25.60,26.10,438,NSBQ,NSBQ3-27,2026-06-25
Q4 2027,-,-,49.50,15:59,-0.50,13,2,15,49.50,49.65,49.50,49.50,440,NSBQ,NSBQ4-27,2026-06-25
Q1 2028,-,-,67.20,14:45,0.20,3,-,3,67.25,67.25,67.20,67.10,199,NSBQ,NSBQ1-28,2026-06-25
Q2 2028,-,-,-,-,0.00,-,-,-,-,-,-,32.90,44,NSBQ,NSBQ2-28,2026-06-25
Q3 2028,-,-,-,-,0.00,-,-,-,-,-,-,24.00,51,NSBQ,NSBQ3-28,2026-06-25
Q4 2028,-,-,-,-,0.00,-,-,-,-,-,-,48.75,80,NSBQ,NSBQ4-28,2026-06-25
Jun 2026,-,-,-,-,0.00,-,-,-,-,-,-,61.85,"5,442",NSBM,NSBMJUN-26,2026-06-25
Jul 2026,-,-,40.90,15:59,-0.78,41,26,67,41.50,41.50,40.90,40.95,"1,379",NSBM,NSBMJUL-26,2026-06-25
Aug 2026,-,-,47.35,15:59,-0.70,20,5,25,48.00,48.00,47.35,47.40,739,NSBM,NSBMAUG-26,2026-06-25
Sep 2026,52.40,57.88,52.95,16:08,-1.15,14,5,19,53.30,53.30,52.95,52.95,537,NSBM,NSBMSEP-26,2026-06-25
Oct 2026,-,-,53.75,15:59,-1.65,2,-,2,54.50,54.50,53.75,53.75,131,NSBM,NSBMOCT-26,2026-06-25
Nov 2026,70.05,-,71.90,15:59,-0.20,5,-,5,71.90,71.90,71.90,71.90,58,NSBM,NSBMNOV-26,2026-06-25
Dec 2026,-,-,76.20,14:56,-0.30,2,5,7,76.20,76.20,76.20,76.20,67,NSBM,NSBMDEC-26,2026-06-25
