ProductCode  Settl._latest  Settl._avg    Trend
    NSBY-36          53.00    51.25000  1.75000
    NSBY-35          52.75    51.21875  1.53125
    NSBY-34          52.50    51.18750  1.31250
    NSBY-33          52.25    51.15625  1.09375
    NSBY-31          52.16    51.18125  0.97875
    NSBY-30          51.50    50.60125  0.89875
    NSBY-32          52.00    51.13625  0.86375
    HLBY-30           2.05     1.73750  0.31250
    HLBY-28           1.81     1.72500  0.08500
    HLBY-29           2.14     2.16750 -0.02750
